ID;Descrição;Preço em R$
59;"HD WD Purple Pro 14TB, 7200RPM, Cache 512MB, 3.5"", SATA - WD141PURP";R$ 2.499,99
60;9.5mm Caddy Adaptador Segundo Hd Ssd Sata Para Dvd Notebook Cor:prata;R$ 19,90
61;HD WD Red, 16TB, 3.5, NAS, Cache 512Mb, 7200 RPM, SATA - WD161KFGX;R$ 2.199,99
62;Storage Synology NAS DS223, 1.7 GHz, 2GB, DDR4, Torre, 2 Baias - DS223;R$ 2.399,99
63;HD WD Red 1TB NAS, 3.5', SATA - WD10EFRX;R$ 389,99
64;Dock Station Usb 3.0 - Hd Sata 2.5 E 3.5 - Preto - Mymax;R$ 175,12
65;HD Seagate 1TB Barracuda, 7200 RPM, Cachê 64MB, SATA III - ST1000DM010;R$ 313,47
66;Hdd Externo Portatil Adata 1TB Azul - AHD710p-1tu31-cbl;R$ 336,00
67;HD Externo Portátil Toshiba 4TB Canvio Basics, 2.5, USB 3.0, Preto - HDTB440XK3CA;R$ 763,20
68;HD Externo Portátil Seagate 1TB Expansion, USB 3.0, Preto - STKM1000400;R$ 369,90
69;HD Interno Western Digital 2TB Blue, 5400 RPM, 256MB, 3.5, SATA III - 20EZAZ;R$ 374,40
70;HD Externo WD Black 2TB Game Drive P10, USB 3.2, Preto - WDBA2W0020BBK-WESN;R$ 529,99
71;HD Externo Seagate 500GB Expansion, USB 3.0;R$ 252,06
72;Gaveta HD Mymax 2TB, Adaptadora Caddy, Para Notebook, Cinza - 84717090;R$ 17,51
73;HD Western Digital, 500GB, 7200RPM, 6GB/s, Sata 3.5 - Wd5000azlx;R$ 104,39
74;HD Desktop Western Digital Red Plus 8tb Nas Sata6 5640rpm, 128MB, 3,5Polegadas - WD80EFZZ-68BTXN0;R$ 1.390,52
75;HD Externo Seagate 8TB Expansion, USB 3.0 - STKP8000400;R$ 1.745,22
76;Case para HD Externo 2,5 C3Tech, SATA, USB 3.0, Cinza - CH-350CB;R$ 54,99
77;Adaptador Knup Caddy CD/DVD, Para Notebook, Para Segundo HD Ou SSD, 9.5mm;R$ 29,60
78;HD Externo 14TB WD Elements Desktop Hard Drive, USB 3.0, Antichoque, Preto - WDBWLG0140HBK-NESN;R$ 1.899,99
79;HD Externo Western Digital 4TB Elements, 2.5, USB 3.0, Preto - WDBU6Y0040BBK;R$ 788,35
80;Case HD Notebook SSD Sata 2.5 USB 3.0 Protocolo Uasp Note Pc;R$ 24,89
81;Docking Station Wavlink USB-C, HUB 13 Em 1, Displayport, HDMI, VGA, Alimentação 100watt, Wl-umd03;R$ 750,00
82;HD Interno WD Gold Enterprise Class, 4TB, 7200 RPM, 3.5´, SATA - WD4003FRYZ;R$ 1.199,99
83;HD Seagate 8TB Servidor Exos 7E10, 7200 RPM, 256MB, 3.5, SATA, 6GB/s, 512E , 4KN - ST8000NM019B;R$ 1.831,08
84;HD Seagate, 1TB, Interno SkyHawk, Para Vigilância - ST1000VX005;R$ 350,74
85;HD Seagate 500GB 5400rpm Sata Iii 2.5 Polegadas  - ST500LM030;R$ 104,39
86;HD Gamer Interno 18TB Seagate Exos X16, NAS, SATA 6GB, 7200 RPM, 256MB, 512E, 4KN, 3.5 - ST18000NM000J;R$ 4.286,84
87;HD Seagate 18TB Surveillance Skyhawk, 7200 RPM, 256MB, SATA III - ST18000VE002;R$ 3.094,74
88;HD Seagate 1TB Barracuda, 7200 RPM - ST1000DM010;R$ 355,95
89;Hd Externo Toshiba Canvio Basics, 1TB, USB 3.0, Preto - HDTB510XK3AA;R$ 302,90
90;HD Externo Portátil Western Digital 1TB Elements, USB 3.0 - WDBUZG0010BBK-WESN;R$ 400,72
91;"HD WD Purple Pro 8TB, 7200RPM, Cache 256MB, 3.5"", SATA - WD8001PURP";R$ 1.499,99
92;HD Externo Portatil Toshiba Canvio 2TB, Preto, HdTB520xk3aa;R$ 479,00
93;HD Seagate 1TB Barracuda, 7200 RPM, Cachê 64MB, SATA III, 6GB/s - ST1000DM010;R$ 365,00
94;HD Interno WD Gold Enterprise Class, 10TB, 7200 RPM, 3.5´, SATA - WD102KRYZ;R$ 1.799,99
95;HD Seagate 1TB BarraCuda, 2.5' para Notebook, SATA - ST1000LM048;R$ 399,99
96;HD Seagate 6TB Barracuda, 3.5', SATA - ST6000DM003;R$ 1.099,99
97;HD Western Digital 8TB Interno Purple, Roxo - WD84PURZ;R$ 1.963,00
98;Case HD 2.5 Polegadas E Sata SSD, USB 3.0, Transparente;R$ 36,90
99;HD Toshiba N300, 6TB, 7200 RPM, NAS, 3.5, SATA - HDWG460XZSTA;R$ 939,99
100;HD Seagate 4TB Skyhawk, 5400 RPM, Cachê 256MB, 3.5, Para Segurança, Vigilância, DVR - ST4000VX013;R$ 739,26
101;HD Seagate 2TB Barracuda, 3.5, SATA III, Para Desktop - ST2000DM008;R$ 569,00
102;Adaptador Conector Caddy, Placa Para HD SSD Do Notebook Lenovo Ideapad 110 310 312 320 330 510;R$ 29,61
103;Cabo Adaptador, Case Conversor, Sata 3 5GBps Usb Tipo C 3.1 Para Hd, SSD Externo, 2.5 Polegadas - Preto;R$ 49,90
104;Adaptador Caddy Para HD Ou SSD, Gaveta DVD Notebook - AC-95;R$ 17,00
105;HD Externo Seagate 16TB Desktop Expansion, 7200 RPM, USB 3.0 - STKP16000400;R$ 2.360,14
106;Case Externa F3 para HD SATA 2.5, Type-c, USB Até 4TB, Transparente - CS-TY01;R$ 69,99
107;HD Externo Seagate Expansion, 12TB, USB, Preto - STKP12000400;R$ 1.899,99
108;HD Externo Portátil Seagate 6TB Expansion Desktop, USB 3.0, Preto - STKP6000400;R$ 1.119,45
109;HD Western Digital 500GB Scorpio Blue, SATA 3, Para Notebook - Wd5000lpzx;R$ 104,39
110;Storage Qnap 1 Baia 1.8ghz 2GB 64bits - Ts-133-us;R$ 1.079,91
111;HD Externo Seagate Expansion, 500GB, 2.5 Polegadas, Preto - MStea500400;R$ 252,06
112;Hd  4TB, Sata 3 256MB 7200RPM 3.5 Exos 7e10 24x7 512n - St4000nm000b - Seagate.;R$ 1.305,39
113;HD Externo Seagate 4TB Expansion, 2.5, USB 3.0 - STKM4000400;R$ 799,00
114;Case Para HD Knup Externo, Para PC, SATA 3.5, USB 3.0, Preto - KP-HD004;R$ 134,00
115;Storage WD NAS My Cloud Home, 4TB, 1 Baia - WDBVXC0040HWT-NESN;R$ 1.199,99
116;Case Gaveta Ssd Para Sata M2 Exbom;R$ 71,00
117;Storage Asustor 1.4GHz, 1GB DDR4, Rede 2.5 Gigabit,Torre 2 Baias - AS1102T;R$ 1.699,99
118;HD Interno Seagate Ironwolf, 12TB, Para Nas, 7200rpm, 256mb Cache, Sata 6gb/s - St12000vn0008;R$ 1.985,29
119;HD Dell Sas, 300GB, 10k 6gbs 2.5 Pghjg, 0pghjg, St300mm006;R$ 820,00
120;Disco Rígido Externo Seagate Games, Drive For Xbox Stea2000403, Verde;R$ 499,00
121;HD Externo WD Elements Desktop 10TB, Conexão USB 2.0/3.0 - WDBWLG0100HBK-NESN;R$ 1.699,99
122;HD Seagate 2TB Exos Servidor 7E10, SAS, 7200 RPM, 256MB, 6GB/s, 512E 4KN - ST2000NM001B;R$ 928,05
123;Hd Externo Seagate, 6TB, One Touch, USB 3.0, Backup, 3.5 Polegadas - Stlc6000400;R$ 1.284,24
124;HD Western Digital Red Plus, 2TB, NAS, Para Servidor, 3.5p - Wd20efpx;R$ 628,92
125;Storage Synology NAS DS423+, 2.7GHz, 2GB, DDR4, Torre, 4 Baias - DS423+;R$ 4.699,99
126;HD Interno 3,5 Polegadas, 12Tb Western Digital  Red Nas Ware - Wd120efbx;R$ 2.673,00
127;Gaveta Adaptadora Caddy Hd E Ssd Para Notebook 12.7mm - Mymax;R$ 17,51
128;Storage Asustor 1GB DDR4, 1.4Ghz, 2.5 Gigabit, Torre 2 Baias - AS1102T;R$ 1.619,84
129;HD Seagate 6TB Servidor Exos 7E10, 7200RPM, 256MB, 3.5, SATA, 6GB/s, 512N - ST6000NM000B;R$ 1.591,42
130;Case Gaveta HD  FY, SATA, Externo 2.5, Para Notebook, USB 2.0;R$ 26,20
131;HD Toshiba Surveillance S300, 2TB, 5400 RPM, SATA - HDWT720UZSVA;R$ 509,99
132;HD Externo Toshiba 4TB, Canvio Basics, Preto HDTB540XK3CA;R$ 690,00
133;HD Seagate 16TB Skyhawk Ai Surveillance, 235MBs, 3.5;R$ 3.199,00
134;HD Seagate 18TB Exos Enterprise, 7200 RPM, SATA, 6GB/s, Para Servidor - ST18000NM000J;R$ 2.999,00
135;HD Seagate 14TB Servidor Exos X18, SAS, 7200 RPM, 256MB, 512E 4KN, 3.5, 12GB/s - ST14000NM004J;R$ 3.567,39
136;HD Western Digital 4TB Purple Surveillance, 3.5, SATA - WD40PURZ;R$ 706,00
137;HD Seagate 10TB Skyhawk AI Surveillance Desktop, 7200 RPM, 256MB, 3.5, SATA 6 - ST10000VE001;R$ 2.255,86
138;HD Seagate 2TB Servidor Exos 7E10, 7200 RPM, 256MB, 512N, 3.5, SATA, 6GB/s - ST2000NM000B;R$ 935,79
139;HD Seagate 1.2TB Servidor Exos 10E2400, SAS, 10000 RPM, 256MB, 2,5, 12GB/s, 512E, 4KN - ST1200MM0129;R$ 2.140,77
140;Gaveta HD Mymax 3.5pol, USB 3.0, Preto;R$ 87,91
141;HD Externo LaCie 2TB Rugged, USB-C, Laranja - STFR2000800;R$ 899,99
142;Hd Seagate Ironwolf Pro 16tb Nas Sata6, 7200rpm, 256mb - ST16000NT001;R$ 2.588,28
143;HD Seagate 6TB Exos 7E8, 7200 RPM, 256MB, 3.5, SATA 3 - ST6000NM002A;R$ 1.487,07
144;HD Externo Portatil Adata 1TB Hd330 Anti-queda Azul - AHD330-1tu31-cbl;R$ 336,00
145;Case Para HD FY Externo, SATA 2.5, USB 2.0;R$ 24,90
146;HD Toshiba 500GB, Sata Ill 7200rpm 2.5 Polegadas;R$ 161,99
147;Hdd Externo Portatil Adata 1TB AHD710 Pro Camuflado - AHD710mp-1tu31-ccf;R$ 336,00
