ID;Descrição;Preço em R$
54;Placa Mãe MSI MPG B550 Gaming Plus, AMD AM4, Chipset B550, ATX, DDR4 - 911-7c56-031;R$ 1.229,00
55;Placa Mãe ASRock B760M-HDV/M.2 D4, Intel, Micro ATX, DDR4 - 90-MXBL4*;R$ 799,99
56;Placa Mãe Asrock, B660m, Phantom Gaming 4 Lga1700, Ddr4 HDMI Dp M.2;R$ 817,11
57;Placa Mãe Gigabyte H610m H, Intel, LGA 1700, mATX, DDR4, Chipset H610;R$ 584,99
58;Placa Mãe Goline Gl-h61m-g Socket LGA 1155, 16GB, DDR3, VGA;R$ 194,00
59;Placa Mãe Gigabyte A520m Ds3h V2, AMD AM4, Chipset A520, Matx, DDR4 - A520m Ds3h V2;R$ 429,90
60;Placa Mãe MSI MAG Z790 Tomahawk Max, ATX, DDR5, Wi-Fi, RGB, Bluetooth;R$ 2.699,99
61;Placa Mãe Afox, Lga 1155 Ddr3 HDMI Vga M.2 - Ih61-ma2-v4;R$ 223,11
62;Placa Mãe Gigabyte B650M Aorus Elite AX, AMD,  Micro ATX, DDR5, Wi-Fi, Bluetooth - B650M Aorus ELITE AX;R$ 2.469,99
63;Placa-Mãe MSI PRO, AMD AM5, mATX, DDR5, HDMI e DP, Wi-Fi, 6E - B650M-A;R$ 1.705,10
64;Placa-Mãe Msi Pro A620m-E, AMD AM5, M-ATX, DDR5, Chipset A620 - 911-7e28-001;R$ 730,90
65;Placa-Mãe Asus, AMD AM4 A520, DDR4, M.2, HDMI, VGA e DisplayPort - A520M-A-II;R$ 516,51
66;Placa Mãe MSI MPG Z790 Edge TI Max, ATX, DDR5, Wi-Fi, RGB, Bluetooth;R$ 3.499,99
67;Placa-Mãe AsRock A520M-HVS, AMD AM4, mATX, DDR4 - 90-MXBE60-A0UAYZ;R$ 431,15
68;Placa-Mãe Gigabyte B760 Gaming X, Intel LGA 1700, DDR5, ATX;R$ 1.754,90
69;Placa-Mãe Gigabyte B760 Gaming X Ax, DDR5, Intel LGA 1700, Wi-Fi, M.2;R$ 2.209,55
70;Placa Mãe Gigabyte Z790m Aorus Elite Ax, Wi-fi, Ddr5, Microatx, Lga1700;R$ 3.420,82
71;Placa-Mãe Knup H81, Intel LGA 1150, 2 Slots DDR3, 1 Slot PCIe X16, 2 USB 3.0 - KP-H81;R$ 237,50
72;Placa-Mãe Biostar B550mh 3.0, AMD, AM4, DDR4, Suporta Módulo SSD M.2;R$ 475,80
73;Placa Mãe Asus Tuf Gaming Z790-Plus D4, Intel, ATX, DDR4 - 90MB1CQ0-M0EAY0;R$ 2.199,99
