ID;Descrição;Preço em R$
50;Memória Kingston Fury Impact, 8GB, 3200MHz, DDR4, CL20, para Notebook - KF432S20IB/8R;R$ 149,99
51;Memória Gamer Husky Gaming Blizzard RGB, 8GB, 3200MHz, DDR4, CL19, Preto - HGMF004;R$ 139,99
52;Memória Corsair Vengeance LPX 32GB 2666Mhz DDR4 C16 Black - CMK32GX4M1A2666C16;R$ 439,99
53;Memória Kingston Fury Renegade, 8GB, 3600MHz, DDR4, CL16, Preto - KF436C16RB/8;R$ 169,99
54;Memória Kingston Fury Impact, 16GB, 3200MHz, DDR4, CL20, para Notebook - KF432S20IB/16R;R$ 289,99
55;Memória XPG Lancer, RGB, 16GB, 5200MHz, DDR5, CL38, Preto - AX5U5200C3816G-CLARBK;R$ 599,99
56;Memória XPG Spectrix D35G, RGB, 32GB (2x16GB), 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-DTBKD35G;R$ 569,99
57;Memória Corsair Vengeance RGB RS, 32GB (2x16GB), 3600MHz, DDR4, CL18, Preto - CMG32GX4M2D3600C18;R$ 629,99
58;Memória Kingston, 8GB, 1600MHz, DDR3L, Para Notebook - KVR16LS11/8;R$ 572,39
59;Memória Kingston Fury Beast, RGB, 32GB, 3200MHz, DDR4, CL16, Preto - KF432C16BBA/32;R$ 549,99
60;Memória Corsair Vengeance RGB RS, 16GB (2x8GB), 3600MHz, DDR4, CL18, Preto - CMG16GX4M2D3600C18;R$ 349,99
61;Memória Rise Mode, 4GB, 1600MHz, DDR3, CL11 - RM-D3-4G1600V;R$ 49,99
62;Memória Kingston Fury Beast, RGB, 32GB (2x16GB), 6000MHz, DDR5, CL40, Preto - KF560C40BBAK2-32;R$ 1.069,99
63;Memória Corsair Vengeance LPX, 16GB (2x8GB), 3200MHz, DDR4, CL16, Black - CMK16GX4M2E3200C16;R$ 319,99
64;Memória Gamer Rise Mode Value, 8GB, 1600MHz, DDR3L, CL11, Preto - RM-D3-8G1600VL;R$ 149,99
65;Memória Corsair Vengeance 16GB, 2666MHz, DDR4, C18, para Notebook, Preto - CMSX16GX4M1A2666C18;R$ 259,99
66;Memória Corsair, 8GB, 2133MHz, DDR4, CL15, Preto - CMV8GX4M1A2133C15;R$ 145,99
67;Memória Kingston Fury Beast, RGB, 16GB, 6000MHz, DDR5, CL36, Branco - KF560C36BWEA-16;R$ 549,99
68;Memória Xpg Spectrix D35g RGB, 16GB, 1x16GB, 3200mhz, DDR4, Preto;R$ 319,41
69;Memória NTC, 8GB, 1600MHz, DDR3, Para Notebook - NTCKF1600ND3-8GB;R$ 65,61
70;Memória Husky Gaming Blizzard RGB, 16GB, 3600MHz, DDR4 - CL26, Preto - HGMF027;R$ 279,99
71;Memória Kingston Fury Impact, 16GB, 4800MHz, DDR5, CL38, Para Notebook - KF548S38IB-16;R$ 439,99
72;Memória Kingston UDIMM, 8GB, 1600MHz, DDR3, Para Desktop - KVR16N11/8;R$ 66,00
73;Memória Kingston Fury Renegade, 32GB (2x16GB), 3600MHz, DDR4, CL16, Preto - KF436C16RB1K2/32;R$ 699,99
74;Memória Kingston Fury Impact, 8GB, 4800MHz, DDR5, CL38, Para Notebook - KF548S38IB-8;R$ 259,99
75;Memória Corsair Vengeance LPX 32GB (2x16GB), 2666MHz, DDR4, C16, Preto - CMK32GX4M2A2666C16;R$ 499,99
76;Memória Rise Mode Diamond 8GB, 3200MHz, DDR4, CL15, White - RM-D4-8G-3200D;R$ 119,99
77;Memória Corsair Vengeance, 16GB, 4800MHz, DDR5, C40, para Notebook, Preto  - CMSX16GX5M1A4800C40;R$ 359,99
78;Memória Corsair Vengeance RGB Pro, 32GB (2x16GB), 3600MHz, DDR4, C18, Preto - CMW32GX4M2D3600C18;R$ 699,99
79;Memória Corsair Vengeance para AMD, 32GB (2x16GB), 5200MHz, DDR5, C40, Preto - CMK32GX5M2B5200Z40;R$ 739,99
80;Memória Crucial, 16GB, 3200MHz, DDR4, Para Notebook - CT16G4SFRA32A;R$ 289,71
81;Memória Kingston Fury Beast, RGB, 32GB, 6000MHz, DDR5, CL36, Branco - KF560C36BWEA-32;R$ 959,99
82;Memória Corsair Vengeance, 8GB, 3200MHz, DDR4, C22, para Notebook, Preto  - CMSX8GX4M1A3200C22;R$ 169,99
83;Memória Corsair Vengeance LPX 16GB, 3000MHz, DDR4, CL16, Preto - CMK16GX4M1D3000C16;R$ 299,99
84;Memória Husky Gaming Storm RGB, 8GB, 3200MHz, DDR4 - CL22, Preto - HGMF018;R$ 149,99
85;Memória Rise Mode Value, 4GB, 1600MHz, DDR3L, CL11, Preto - RM-D3-4G1600VL;R$ 49,99
86;Memória Corsair Vengeance RGB Pro, 64GB (2x32GB), 3200MHz, DDR4, C16, Preto - CMW64GX4M2E3200C16;R$ 1.099,99
87;Memória Kingston Fury Beast Edição Especial, RGB, 16GB, 3600MHz, DDR4, CL18, Branco - KF436C18BWA/16;R$ 359,99
88;Memória XPG Gammix D45, 16GB (2x8GB), 3200MHz, DDR4, CL16, Preto - AX4U32008G16A-DCBKD45;R$ 339,99
89;Memória Corsair Value Select 16GB, 2133MHz, DDR4, C15, para Notebook - CMSO16GX4M1A2133C15;R$ 259,99
90;Memória Corsair Vengeance Pro, RGB, 32GB (2x16GB), 2666MHz, DDR4, CL16, Black - CMW32GX4M2A2666C16;R$ 599,99
91;Memória Crucial SODIMM, 8GB, 3200MHz, DDR4, Para Notebook - CT8G4SFRA32A;R$ 165,75
92;Memória Corsair, 4GB, 2400MHz, DDR4, C16, Preto - CMV4GX4M1A2400C16;R$ 109,99
93;Memória Gamer Husky Gaming Blizzard RGB, 16GB, 3200MHz, DDR4, CL19, Preto - HGMF005;R$ 299,99
94;Memória Corsair Vengeance, RGB, 64GB (2X32GB), 5600MHz, DDR5, CL40 Preto - CMH64GX5M2B5600Z40K;R$ 1.599,99
95;Memória Kingston Fury Beast, 16GB (2x8GB), 3200MHz, DDR4, CL16, Preto - KF432C16BBK2/16;R$ 349,99
96;Memória Kingston Fury Impact, 32GB, 3200MHz, DDR4, CL20, para Notebook - KF432S20IB/32R;R$ 559,99
97;Memória Corsair Vengeance RGB Pro, 16GB (2x8GB), 3600MHz, DDR4, CL18 - CMW16GX4M2D3600C18;R$ 399,99
98;Memória Corsair Vengeance RGB PRO SL, 16GB (2x8GB), 3200MHz, DDR4, CL16, Branco - CMH16GX4M2E3200C16W;R$ 399,99
99;Memória ADATA 8GB, 3200MHz, DDR4, CL22, Para Notebook - AD4S32008G22-SGN;R$ 158,31
100;Memória Kingston Fury Beast para Intel XMP, RGB, 64GB (2x32GB), 6000MHz, DDR5, CL40, Branco - KF560C40BWAK2-64;R$ 1.899,99
101;Memória Corsair Vengeance LPX 32GB (2x16GB) 2400MHz DDR4 C16 Black - CMK32GX4M2A2400C16;R$ 499,99
102;Memória Kingston Fury Beast, 64GB (2x32GB), 3200MHz, DDR4, CL16, Preto - KF432C16BBK2/64;R$ 1.099,99
103;Memória Kingston Fury Beast, 8GB, 2666MHz, DDR4, CL16, Para Desktop - KF426C16BB/8;R$ 145,20
104;Memória Kingston Fury Beast, 16GB, 3600MHz, DDR4, CL18, Preto - KF436C18BB/16;R$ 339,99
105;Memória Corsair Vengeance LPX 16GB (2x8GB), 2666MHz, DDR4, C16, Preto - CMK16GX4M2A2666C16;R$ 299,99
106;Memória Kingston Fury Beast, RGB, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB1A/16;R$ 263,05
107;Memória Xpg Spectrix D35g RGB, 8GB, 1x8GB, 3200mhz, DDR4, Preto;R$ 181,71
108;Memória Kingston Fury Beast para Intel XMP, 16GB, 5600MHz, DDR5, CL40, Preto - KF556C40BB-16;R$ 459,99
109;Memória Kingston Fury Renegade, 32GB, 3200MHz, DDR4, CL16, Preto - KF432C16RB/32;R$ 539,99
110;Memória Corsair Vengeance, 32GB (2x16GB), 4800MHz, DDR5, C40, para Notebook, Preto  - CMSX32GX5M2A4800C40;R$ 699,99
111;Memória Corsair Vengeance LPX, 16GB, 2666MHz, DDR4, C16, Preto - CMK16GX4M1A2666C16;R$ 269,99
112;Memória Kingston Fury Beast, 16GB, 3200MHz, DDR4 - KF432C16BB/16;R$ 253,04
113;Memória Corsair Vengeance RGB PRO SL, 32GB (2x16GB), 3200MHz, DDR4, CL16, Preto - CMH32GX4M2E3200C16;R$ 659,99
114;Memória Corsair Vengeance LPX, 8GB, 3200MHz, DDR4, C16, Preto - CMK8GX4M1Z3200C16;R$ 159,99
