ID;Descrição;Preço em R$
49;Fonte Redragon RGPS, 600W, 80 Plus Bronze, Modular, PFC Ativo, sem cabo, Preto  - GC-PS003-1;R$ 429,99
50;Fonte Tronos, 600W Real, PFC Ativo, Bivolt - TN/6350-B;R$ 154,61
51;Fonte Duex ATX, 500W Real, 80 Plus Bronze, PFC Ativo, 20+4P - DX 500FSE;R$ 197,91
52;Fonte MSI MAG A750GL, 750W, 80 Plus Gold, Modular, PFC Ativo, com cabo, Preto;R$ 699,99
53;Fonte Draxen ATX, 600W, 80 Plus Bronze, PFC Ativo - DN600;R$ 175,12
54;Fonte Gamemax GX850 PRO, 850W, 80 Plus Gold, Modular, PFC Ativo, com cabo, Preto - GX850PBKPS18810BR;R$ 749,99
55;Fonte Draxen Gamer ATX, 700W, 80 Plus Bronze, PFC Ativo - DN700/BRONZE;R$ 192,72
56;Fonte Cooler Master G600, 600W, 80 Plus Gold, PFC Ativo, com cabo, Preto - MPW-6001-ACAAG-BR;R$ 439,99
57;Fonte Duex Dx 600wfse+ 600w, ATX, Bivolt Automático, 80 Plus Bronze, PFC Ativo, Preto;R$ 247,84
58;Fonte Fortrek Black Hawk ATX, 400W, 80 Plus, PFC Ativo;R$ 176,80
59;Fonte NZXT C Series, 750W, 80 Plus Bronze, PFC Ativo, com cabo, Preto - PA-7G1BB-US;R$ 679,99
60;Fonte Aerocool VX-500, 500W, sem cabo, Preto  - EN57136;R$ 179,99
61;Fonte Aerocool ATX, 600W, 80 Plus Bronze, Bivolt, FAN 120mm, Sem Cabo, KCAS;R$ 278,80
62;Fonte Corsair CV550, 550W, 80 Plus Bronze, PFC Ativo, Com Cabo de Força, 12V, Preto - CP-9020210-BR;R$ 329,90
63;Fonte Mymax ATX, 400W Real, Bivolt Manual, 24 Pinos, Com Cabo;R$ 122,32
64;Fonte De Alimentação Gamemax Gx850 850w 80 Plus Pfc Ativo Gold FULL Modular, Preta - Gx850mbkv1s7710br;R$ 536,60
65;Fonte Corsair ATX CV650, 650W, 80 Plus Bronze, Com Cabo De Força - CP-9020236-BR;R$ 449,00
66;Fonte Brx, Atx 550w, Automatica Pfc - B-sa550w;R$ 142,03
67;Fonte Tronos Brazil PC, 350W Real, Bivolt Manual - BPC-325V1.2 - OEM;R$ 62,33
68;Fonte Ubiquiti Poe Para U6-lite 802.3af - U-poe-af I;R$ 79,20
69;Fonte K-Mex PP-200RNG, 200W Real - PP200RNG0010B0X;R$ 107,91
70;Fonte Gamer Redragon RGPS, 400W, 80 Plus White, PFC Ativo, sem cabo, Preto - GC-PS012;R$ 209,99
71;Fonte Mymax ATX, 500W Real, Bivolt Manual, 24 Pinos, Cabo Incluso;R$ 157,52
72;Fonte Aerocool Gamer, 500W, 80 Plus Bronze, PFC Ativo, Full Range, KCAS;R$ 260,91
73;Fonte Gamemax GX800, 800W, 80 Plus Gold, PFC Ativo, com cabo, Preto - GX800WBKPSS7710BR;R$ 479,99
74;Fonte BRX ATX, 750W, Rainbow RGB, BRX 80 Plus Bronze, Automática;R$ 289,00
75;Fonte Brazil PC Bpc/6350-B, Atx 600W Real, 24 Pinos Box;R$ 157,81
76;Fonte Multi, 200W, 127V e 220V, Sem Cabo- ga224;R$ 54,04
77;Fonte Bluecase Blu350-Epfc, 350W, Para Pc/Desktop, Bivolt, Com Cabo, Preto;R$ 125,10
78;Fonte Cooler Master Elite Nex W600, 600W, 80 Plus White, PFC Ativo, com cabo, Preto -  MPW-6001-ACAW-BB1;R$ 412,99
