ID;Descrição;Preço em R$
150;Cooler FAN Corsair Elite Premium Magnetic, 120mm, LED Branco, Preto - CO-9050121-WW;R$ 119,99
151;Water Cooler Deepcool LE300 Rainbow, LED, 120mm, Intel e AMD, Preto - R-LE300-BKLNMC-G-1;R$ 269,99
152;Water Cooler Gigabyte Aorus Waterforce, ARGB, 360mm, Para PC, Preto - GP-AORUS WATERFORCE 360;R$ 1.399,99
153;Cooler para Processador Cooler Master Hyper 212 LED Turbo White Edition, LED, AMD/Intel - RR-212TW-16PW-R1;R$ 279,99
154;Cooler FAN Corsair AF140 Elite, 140mm, Intel e AMD, Preto - CO-9050141-WW;R$ 139,99
155;Pasta Térmica Cooler Master Mastergel Maker, 1.5ml - MGZ-NDSG-N15M-R2;R$ 84,99
156;Cooler Fan Corsair QL Series RGB, 140mm, Preto - CO-9050099;R$ 99,99
157;Kit 2 Cooler FAN NZXT, 140mm, RGB, com Controlador, Branco - RF-R14DF-W1;R$ 259,99
158;Kit Cooler FAN com 3 Unidades DeepCool - RF-120;R$ 101,15
159;Controlador de Fans e RGB NZXT V2 - AC-CRFR0-B1;R$ 329,99
160;Cooler Mini Nwt 40x40x10, 24vdc;R$ 8,93
161;Water Cooler Corsair iCUE H170i Elite Capellix XT, RGB, 420mm, AMD e Intel, Preto - CW-9060071-WW;R$ 1.399,99
162;Cooler Para Processador Cooler Master Hyper H412R, Intel e AMD, FAN 92mm, 4 Heat Pipes - RR-H412-20PK-R2;R$ 230,00
163;Pasta Térmica Thermal Grizzly Aeronaut 1G - TG-A-001-RS;R$ 49,99
164;Water Cooler GAMDias Chione, RGB, 240mm, Controlador - M2-240R;R$ 326,24
165;Cooler Fan Noctua 120mm, Marrom  - NF-F12-PWM;R$ 169,99
166;Cooler Fan Corsair iCUE SP140 Elite Performance, RGB, 140mm, Preto - CO-9050110-WW;R$ 109,99
167;Cooler para Processador Noctua, AMD/Intel, 120mm, Preto Cromado - NH-U12A CH.BK;R$ 1.199,99
168;Cooler FAN Corsair AF120 Elite, 120mm, Intel e AMD, Preto - CO-9050140-WW;R$ 149,99
169;Kit Cooler FAN com 3 Unidades Brazil PC, RGB - BPC-KSLIM1250-ARGB;R$ 96,54
170;Cooler FAN EOX, 120mm, RGB LED, 3/4pin - L120;R$ 22,00
171;Cooler para Processador Noctua, para AMD/Intel, Preto - NH-D15 CH.BK;R$ 1.049,99
172;Pasta termica dex prata 1g em seringa ( 3,05 w/mk ) ps01;R$ 4,90
173;Water Cooler PL240 Flux Cooler Master Masterliquid, RGB, 240mm, AMD e Intel, LGA 1700, Para PC, Preto - MLY-D24M-A23PZ-R1;R$ 799,99
174;Cooler FAN Mymax Storm II, 120mm, LED, Preto E Vermelho;R$ 8,71
175;Water Cooler Cooler Master MasterLiquid ML280 Mirror, RGB, 280mm, AMD/Intel, Preto - MLX-D28M-A14PK-R1;R$ 599,99
176;Cooler Para Gabinete Corsair, AF120, LED Red;R$ 56,61
177;Kit 3 Cooler Cooler Elite Triple, 120mm, RGB, Branco - CO-9050137-WW;R$ 249,99
178;Cooler para Processador NZXT T120, 120mm, RGB, Branco - RC-TR120-W1;R$ 259,99
179;Air Cooler Deepcool Gammaxx Ag400 ArGB,  Led RGB, 120mm, Intel/amd - R-ag400-bkanmc-g-1;R$ 189,75
180;Cooler Fan Corsair LL140 Single, 140mm, RGB, Preto - CO-9050073;R$ 129,99
181;Cooler Para Processador GAMDIAS Boreas, RGB, Intel e AMD, 120mm, PWM, FAN 6, Heat Pipes - M1-610;R$ 167,23
182;Pasta Térmica Cooler Master Mastergel Maker, Seringa, 4g, Cinza - Mgz-Ndsg-N15m-R2;R$ 84,54
183;Pasta Térmica Dex, Silver, 05g, Seringa Com Pazinha - Ps05;R$ 8,89
184;Cooler para Processador Cooler Master Hyper 212 Spectrum, AMD / Intel, RGB - RR-212A-20PD-R1;R$ 169,99
185;Water Cooler Gigabyte Aorus Liquid Cooler 240, 240mm (2x 120mm), RGB, Intel/AMD, com Display LCD - GP-AORUS WATERFORCE X 240;R$ 1.099,99
186;Controladora De Fan ARGB, P/ Gabinete Gamer, Mymax;R$ 52,71
187;Cooler para Processador Deepcool AG400 WH ARGB GAMMAXX Series, 120mm, Branco - R-AG400-WHANMC-G-2;R$ 219,99
188;Cooler FAN NZXT, 140mm, RGB, Branco - RF-R14SF-W1;R$ 99,99
