ID;Descrição;Preço em R$
38;Processador Intel Core i5-13400, 4.6GHz Max Turbo, Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Vídeo Integrado - BX8071513400;R$ 1.499,99
39;Processador AMD Ryzen 5 5600, 3.5GHz (4.4GHz Turbo), AM4 - 100-100000927BOX;R$ 883,71
40;Processador Intel Celeron G5905, 3.50 GHz, Cache 4MB, 2 Núcleos, 2 Threads, LGA 1200, Vídeo Integrado - BX80701G5905;R$ 227,99
41;Processador Intel Core i3-13100, 4.5GHz Max Turbo, Cache 12MB, 4 Núcleos, 8 Threads, LGA 1700, Vídeo Integrado - BX8071513100;R$ 885,99
42;Processador AMD Ryzen 3 3200G, 3.6GHz (4GHz Max Turbo), Cache 6MB, AM4 - YD3200C5FHBOX;R$ 500,31
43;Processador Intel Core i5-11600KF 11ª Geração, 3.9 GHz (4.9GHz Turbo), Cache 12MB, Hexa Core, 16 Threads, LGA1200 - BX8070811600KF;R$ 988,99
44;Processador Intel Core i9-10900KF, 3.7GHz (5.3GHz Max Turbo), Cache 20MB, LGA 1200 - BX8070110900KF;R$ 1.899,99
45;Processador Intel Core i9-14900K, 14ª Geração, 6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA1700 - BX8071514900K;R$ 4.499,99
46;Processador Intel Core i7-13700K, 13ª Geração, 5.4GHz Max Turbo, Cache 30MB, 16 Núcleos, LGA 1700, Vídeo Integrado - BX8071513700K;R$ 2.645,99
47;Processador AMD Ryzen 9 5950X, 3.4GHz (4.9GHz Max Turbo), Cache 72MB, 16 Núcleos, 32 Threads, AM4 - 100-100000059WOF;R$ 2.898,99
48;Processador AMD Ryzen 9 7950X, 5.7GHz Max Turbo, Cache 80MB, AM5, 16 Núcleos, Vídeo Integrado - 100-100000514WOF;R$ 3.569,99
49;Processador Intel Core I5 12400F 12ª Geração, 2.5GHz (4.4GHz Turbo), Hexa Core, 12 Threads, LGA 1700 - BX8071512400F;R$ 901,19
50;Processador Intel Core I3-10105 10ª Geração, 3.70GHz, Cache 6MB, Quad Core, 8 Threads, LGA 1200 - BX8070110105;R$ 646,43
51;Processador AMD Ryzen 9 7900X3D, 5.6GHz Max Turbo, Cache 140MB, AM5, 12 Núcleos, Vídeo Integrado - 100-100000909WOF;R$ 3.498,99
52;Processador Intel Core i7-13700F, 5.2GHz Max Turbo, Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700 - BX8071513700F;R$ 2.299,99
53;Processador Intel Core i5-12600KF, 3.7GHz (4.9Ghz Max Turbo), Cache 20MB, Quad Core, 16 Threads, LGA 1700 - BX8071512600KF;R$ 1.399,99
54;Processador Intel Pentium Gold G6405, 4.10 GHz, Cache 4MB, Dual Core, 4 Threads, LGA1200 - BX80701G6405;R$ 438,99
55;Processador Intel Core i7-12700K, 3.6GHz (5.0GHz Max Turbo), 12 Núcleos, 20 Threads, LGA 1700, Vídeo Integrado - BX8071512700K;R$ 1.898,99
56;Processador Intel Core I3-10100, 3.60GHz (4.3GHz Turbo), Cache 6MB, LGA 1200 - BX8070110100;R$ 590,67
57;Processador Intel Core i7-13700KF, 13ª Geração, 5.4GHz Max Turbo, Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700 - BX8071513700KF;R$ 2.499,99
58;Processador AMD Ryzen 7 5800X, 3.8GHz, Cache 32MB, Octa Core, 16 Threads, AM4 - 100-100000063WOF;R$ 1.552,37
59;Processador Intel Core i7-12700, Cache 25MB, 2.1GHz (4.9GHz Max Turbo), LGA 1700 - BX8071512700;R$ 1.889,99
60;Processador Intel Core i9-11900KF 11ª Geração, 3.5 GHz (5.1GHz Turbo), Cache 16MB, Octa Core, 16 Threads, LGA1200 - BX8070811900KF;R$ 1.895,99
61;Processador AMD Ryzen 7 8700G, 3.5 GHz (5.0GHz Max Turbo), Cachê 8MB, Octa-Core, 16 Threads, AM5, Vídeo Integrado - 100-100001236BOX;R$ 1.899,99
62;Processador AMD Ryzen 7 7700, 5.3GHz Max Turbo, Cache 40MB, AM5, 8 Núcleos, Vídeo Integrado - 100-100000592BOX;R$ 1.999,99
63;Processador AMD Ryzen 5 7600X, 5.3GHz, Cache 38MB, AM5, Radeon Graphics - 100-100000593WOF;R$ 1.499,90
64;Processador AMD Ryzen 7 7700X, 5.4GHz Max Turbo, Cache 40MB, AM5, 8 Núcleos, Vídeo Integrado - 100-100000591WOF;R$ 2.179,99
65;Processador AMD Ryzen 9 5900X, 3.7GHz (4.8GHz Max Turbo), Cache 70MB, 12 Núcleos, 24 Threads, AM4 - 100-100000061WOF;R$ 2.229,99
66;Processador Amd Ryzen 7 5700, 4.6GHZ, AM4, Cache 20MB, Wraith Stealth, Sem Vídeo - 100-100000743box;R$ 1.266,57
67;Processador Intel Core i7-13700, 5.2GHz Max Turbo, Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700, Vídeo Integrado - BX8071513700;R$ 2.589,99
68;Processador Intel Core i9-13900KF, 13ª Geração, 5.8GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA 1700 - BX8071513900KF;R$ 3.498,99
69;Processador AMD Ryzen 9 5900X, 3.7GHz, Cache 70MB, AM4, 105W;R$ 2.286,24
70;Processador Intel Core i9-13900K, 13ª Geração, 5.8GHz Max Turbo, Cache 36MB, 24 Núcleos, LGA 1700, Vídeo Integrado - BX8071513900K;R$ 3.499,99
71;Processador AMD Ryzen 9 7950X3D, 5.7GHz Max Turbo, Cache 144MB, AM5, 16 Núcleos, Vídeo Integrado - 100-100000908WOF;R$ 4.368,99
72;Processador Intel Core i5-12600K, 3.7GHz (4.9GHz Max Turbo), Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Vídeo Integrado - BX8071512600K;R$ 1.539,99
73;Processador Intel Core i5-11400 11ª Geração, 2.6 GHz (4.4GHz Turbo), Cache 12MB, 6 Núcleos, LGA1200, Vídeo Integrado - BX8070811400;R$ 868,99
74;Processador Intel Core I7-3770, 3.40GHz, Smart Cache 8MB, LGA 1155, 8 Threads, OEM;R$ 445,30
75;Processador Intel Core i9-13900KS, 6.0GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA 1700, Vídeo Integrado - BX8071513900KS;R$ 3.999,99
76;Processador Intel Core i9-13900, 5.6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA 1700, Vídeo Integrado - BX8071513900;R$ 3.799,99
77;Processador Intel Core i9-12900KS, 3.4GHz (5.5GHz Max Turbo), Cache 30MB, LGA 1700, Vídeo Integrado - BX8071512900KS;R$ 2.498,99
78;Processador Intel Core i7-11700F 11ª Geração, 2.5 GHz (4.8GHz Turbo), Cache 16MB, Octa Core, 16 Threads, LGA1200 - BX8070811700F;R$ 1.459,99
79;Processador Intel Core i5-11600K 11ª Geração, 3.9 GHz (4.9GHz Turbo), Cache 12MB, 6 Núcleos, LGA 1200, Vídeo Integrado - BX8070811600K;R$ 1.289,99
80;Processador AMD Ryzen 9 7900X, 5.6GHz, Cache 76MB, AM5, Radeon Graphics Com Ví­deo - 100-100000589WOF;R$ 2.699,90
81;Processador Intel Core I9 14900k, 14ª Geração, 3.6 GHZ (6.0 GHZ Turbo), Cache 36MB, Intel LGA1700 - BX8071514900K;R$ 4.101,25
82;Processador Intel Core I5-11400 11ª Geração, 2.6GHz (4.4GHz Turbo), Cache 12MB, LGA 1200 - BX8070811400;R$ 925,90
83;Processador Intel Core i5-10600K, 4.1GHz (4.8GHz Max Turbo), Cache 12MB, LGA 1200 - BX8070110600K;R$ 1.158,99
84;Processador Intel Core I5-10400, 2.9GHz, Cache 12MB, LGA 1200 - BX8070110400;R$ 911,85
85;Processador Intel Core I9 14900kf, 14ª Geração, 3.6 Ghz (6.0ghz Turbo), Cache 36MB, LGA 1700 - BX8071514900KF;R$ 3.914,63
86;Processador Intel Core i9-13900F, 5.6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA 1700 - BX8071513900F;R$ 3.498,99
87;Processador AMD Ryzen 3 4100, 4.0GHz, Cache 6MB, AM4, Wraith Stealth, Sem Ví­deo Integrado - 100-100000510BOX;R$ 475,55
88;Processador AMD Ryzen 9 7950x3d Am5 4.2ghz,5.7ghz Max Turbo, 144mb Com Vídeo S/ Cooler - 100-100000908WOF;R$ 4.799,00
89;Processador AMD Ryzen 5 4600G, 3.7GHz (4.2GHz Max Boost), Cache 11MB, AM4, Ví­deo Integrado Vega 7;R$ 735,89
