ID;Descrição;Preço em R$
44;"SSD 500 GB Samsung 870 EVO Series, 2.5"", SATA III, Leitura: 560MB/s e Gravação: 530MB/s, Preto - MZ-77E500E";R$ 349,99
45;SSD Externo Portátil SanDisk Extreme, 1TB, USB 3.1, Leitura: 1050 MB/s e Gravação: 1000 MB/s, Preto e Laranja - SDSSDE61-1T00-G25;R$ 619,99
46;SSD 2TB Corsair MP600 CORE XT, PCIe Gen 4.0 x4 NVMe M.2, Leitura: 5000MB/s e Gravação: 4400MB/s, Preto - CSSD-F2000GBMP600CXT;R$ 769,99
47;SSD 512 GB Kingston KC3000, M.2 2280 PCIe, NVMe, Leitura: 7000MB/s e Gravação: 3900MB/s - SKC3000S/512G;R$ 349,99
48;SSD Kingston 1920 GB DC600M Mixed-Use, SATA 2.5, Leitura: 560MB/s e Gravação: 530MB/s - SEDC600M/1920G;R$ 1.299,99
49;SSD Samsung 1TB, 870 QVO, SATA, Leitura 560MB/s e Gravação 530MB/s - MZ-77Q1T0BW;R$ 479,99
50;SSD 1TB Kingston Fury Renegade com Dissipador, PCIe 4.0 NVMe M.2, Gen4x4, Leitura: 7300MB/s e Gravação: 6000MB/s, Preto, compatível com o PlayStation 5 - SFYRSK/1000G;R$ 649,99
51;SSD 1 TB Samsung 980 PRO Series NVMe, M.2 2280, PCIe 4.0x4, Leitura: 7000MB/s e 5000MB/s - MZ-V8P1T0B/AM;R$ 699,99
52;SSD 500 GB WD Black SN770, M.2, PCIe Gen4x4, NVMe, Leitura: 5000MB/s e Gravação: 4000MB/s - WDS500G3X0E;R$ 399,99
53;SSD 1 TB WD Black SN770, M.2, PCIe Gen4x4, NVMe, Leitura: 5150MB/s e Gravação: 4900MB/s - WDS100T3X0E;R$ 499,99
54;SSD Rise Mode 480GB Gamer Line, SATA, Leitura: 535MB/s e Gravação: 435MB/s, Preto - RM-SSD-480;R$ 269,99
55;SSD Wd Green, 1TB, Sata, Leitura 545mb/s, Gravação 430mb/s - WDS100T2G0A;R$ 336,71
56;SSD 512GB XPG S41 TUF, M.2 PCIe NVMe, Heatsink, Leitura: 3500MB/s e Gravação: 2400MB/s - AGAMMIXS41-512G-C;R$ 269,99
57;SSD 120 GB Adata Ultimate SU650, M.2, Leitura: 550MB/s e Gravação: 410MB/s - ASU650NS38-120GT-C;R$ 85,99
58;SSD Externo Portátil Sandisk, 2TB, USB, Leitura: 520MB/s, Preto e Laranja - SDSSDE30-2T00-G25;R$ 799,99
59;SSD Lexar NVME 512GB, Leitura 3300MB/s, Gravação 2400MB/s, Preto - LNM620X512G-RNNNU;R$ 209,99
60;SSD Samsung 1TB, M.2, NVMe 980, Leitura 3500MB/s e Gravação 3000MB/s - MZ-V8V1T0BW;R$ 469,99
61;SSD Externo Portátil Kingston 2TB, USB 3.2, Leitura: 1.050MB/s e Gravação: 1.050MB/s - SXS1000/2000G;R$ 799,99
62;SSD 240 GB WD Green PC SN350, PCIe, NVMe, Leitura: 2400MB/s e Gravação: 900MB/s - WDS240G2G0C;R$ 189,99
63;SSD Hikvision C100 240GB, SATA, Leitura  550MB/s, Gravação 450MB/s - Hs-ssd-c100/240g;R$ 155,60
64;SSD 512 GB Adata XPG Gammix S11 Pro, M.2 NVMe, Leitura: 3500MB/s e Gravação: 2300MB/s - AGAMMIXS11P-512GT-C;R$ 289,99
65;SSD 1 TB XPG S70 Blade, PCIe Gen4x4, M.2 NVMe, Leitura: 7400MB/s e Gravação: 5500MB/s, 3D NAND - AGAMMIXS70B-1T-CS;R$ 589,99
66;SSD 2TB Kingston Fury Renegade com Dissipador, PCIe 4.0 NVMe M.2, Gen4x4, Leitura: 7300MB/s e Gravação: 7000MB/s, Preto, compatível com o PlayStation 5 - SFYRDK/2000G;R$ 1.199,99
67;SSD 480GB Sandisk Sata III 2.5, Leitura 535 MB/s E Gravação 445 MB/s - Sdssda-480g-G26;R$ 270,50
68;SSD Crucial 1TB, Nvme Pcie, Leitura 3500MB/s + Gravação 3000MB/s, P3 - Ct1000p3SSD8;R$ 551,64
69;SSD WD Black SN850X Gaming Storage 1TB, M.2 2280 PCIe GEN4X4, NVMe, Leitura: 7300 MB/s e Gravação: 6300 MB/s, Preto - WDS100T2X0E;R$ 599,99
70;SSD 500 GB Kingston Fury Renegade, M.2 2280 PCIe, NVMe, Leitura: 7300MB/s e Gravação: 3900MB/s - SFYRS/500G;R$ 439,99
71;SSD 500 GB XPG Spectrix S20G, M.2 2280, PCIe Gen3x4, Leitura: 2500 MB/s e Gravação: 1800 MB/s, 3D NAND - ASPECTRIXS20G-500G-C;R$ 249,99
72;SSD 250GB SanDisk Plus NVMe, M.2, PCle, Gen3,  Leitura 3.000 e Gravação acima de 3.000 - SDSSDA3N-250G-G26;R$ 169,99
73;SSD Crucial Bx500, 1TB, Sata 6GB/s 2.5, Leitura 540 MB/s, Escrita 500 MB/s, Preto - Ct1000bx500ssd1;R$ 392,27
74;SSD Gigabyte Gen3 2500E 1TB, PCIe 3.0x4, NVMe1.3, Leitura:2400MB/s e Gravação:1800MB/s - G325E1TB;R$ 399,99
75;"HD Lexar Nq100 SSD 240GB, Leitura 550MB/S, 2.5"" Sata Iii 6GB/S";R$ 175,77
76;SSD 512 GB Kingston KC600, SATA, Leitura: 550MB/s e Gravação: 520MB/s - SKC600/512G;R$ 349,99
77;SSD 2 TB WD Green, SATA, Leitura: 545 MB/s e Gravação: 460MB/s - WDS200T2G0A;R$ 749,99
78;SSD Kingston 480GB A400, SATA, Leitura 500MB/s E Gravação 450MB/s - SA400S37/480G;R$ 200,26
79;SSD Adata 500GB Legend 850 Lite, PCIe Gen 4x4 M.2 2280, Leitura: 5000 MB/s e Gravação: 1700MB/s, Cinza - ALEG-850L-500GCS;R$ 259,99
80;SSD 1 TB Corsair Force MP600 PRO XT, M.2 PCIe, NVMe, Leitura: 7100MB/s e Gravação: 5800MB/s - CSSD-F1000GBMP600PXT;R$ 639,99
81;SSD Redragon 480Gb SATA 2.5, Leitura 550MB/s e Gravação 470MB/s, Preto - GD-303;R$ 179,99
82;"Ssd 480gb Kingston A400, Leitura 500mb/s, Gravação 450mb/s, Sata Iii 6gb/s, 2.5"" - Sa400s37/480gb";R$ 202,42
83;SSD WD Green 240GB Sata, Leitura 545mb/s, Gravação 430mb/s - Wds240g2g0a;R$ 159,90
84;SSD Husky Gaming Storm, 512GB, M.2 PCIe 4.0 Gen4, NVMe, Leitura: 7100MB/s e Gravação: 2700MB/s - HGML044;R$ 279,99
85;SSD 2 TB Corsair Force MP600 PRO LPX, M.2 PCIe, NVMe, Leitura: 7100MB/s e Gravação: 6800MB/s - CSSD-F2000GBMP600PLP;R$ 999,99
86;SSD 500 GB WD Red SA500 NAS, SATA, Leitura: 560MB/s e Gravação: 530MB/s - WDS500G1R0A;R$ 459,99
87;SSD Sata 500GB Crucial Bx500 - Ct500bx500SSD1;R$ 217,29
88;SSD 2 TB Kingston KC3000, M.2 2280 PCIe, NVMe, Leitura: 7000MB/s e Gravação: 7000MB/s - SKC3000D/2048G;R$ 999,99
89;SSD Externo 1 TB Kingston XS2000, Leitura: 2.000 MB/s e Gravação: 2000MB/s - SXS2000/1000G;R$ 679,99
90;SSD 1 TB Kingston KC600, SATA, Leitura: 550MB/s e Gravação: 520MB/s - SKC600/1024G;R$ 619,99
91;SSD Kingston A400 240GB, SATA, 6GBps, Leitura 500MB/s E Gravação 350MB/s - Sa400s37/240g;R$ 158,65
92;SSD 500GB WD Blue SN570, M.2 2280, NVMe, Leitura: 3500MB/s e Gravação: 2300MB/s, Azul - WDS500G3B0C;R$ 299,99
93;SSD Acer 240GB Sa100, Sata III 6.0GB/s, De 2.5 Polegadas - Bl.9bwwa.102;R$ 399,00
94;SSD 512 GB XPG S70 Blade, M.2 NVMe, PCIe Gen4x4, Leitura: 7200MB/s e Gravação: 2600MB/s - AGAMMIXS70B-512G-CS;R$ 399,99
95;SSD 1TB Corsair MP600 PRO LPX, PCIe Gen 4.0 x4 NVMe M.2, Leitura: 7100MB/s e Gravação: 5800MB/s, Branco - CSSD-F1000GBMP600PLPW;R$ 599,99
96;SSD Externo Portátil SanDisk Extreme PRO V2, 1TB, USB 3.1, Leitura: 2.000 MB/s, Gravação: 2.000 MB/s, Preto e Laranja - SDSSDE81-1T00-G25;R$ 899,99
97;SSD Kingston KC3000 4TB, M.2 2280 PCIe, NVMe, Leituras 7.000MB/s, Gravação 7.000MB/s - SKC3000D/4096G;R$ 2.399,99
98;SSD Rise Mode Gamer M.2 Z Series 512GB M.2, NVMe, Leitura: 2200MB/s e Gravação: 1800MB/s - RM-SSD-512GB-M2;R$ 229,99
99;SSD Gigabyte Gen3 2500E 500GB, PCIe 3.0x4, NVMe1.3, Leitura: 2300MB/s e Gravação:1500MB/s - G325E500G;R$ 229,99
