ID;Descrição;Preço em R$
51;Kit Upgrade AMD Ryzen 7 5700g, Placa Mae A320m, 32GB, DDR4, Neologic - NLI84632;R$ 3.139,40
52;Kit Powerpc Placa-Mãe H110 + Processador I5 7400 + Memória 8GB DDR4 + Cooler + M.2 256GB;R$ 1.015,25
53;Kit Pl Mãe H61 + Processador I3 2100 + Mem 4 Gb Ddr3 + Cooler + Fonte;R$ 693,65
54;Kit Placa Mãe H81, Processador I5 4570s, Memoria 8 Gb DDR3, Cooler;R$ 682,65
55;Kit Placa Mãe H81 + Processador I5 4570  + Memoria 16GB DDR3 + Cooler;R$ 536,65
56;Kit Upgrade AMD Ryzen 5 5600g, Placa Mãe A520m, 32GB,DDR4, Neologic - NLI84631;R$ 2.411,19
57;Kit Upgrade Placa Mãe H61, Processador I3 3220, Memória 4GB DDR3, Cooler, SSD 120;R$ 363,55
58;Kit Powerpc Placa-Mãe H310 + Processador I5 8500 + Memória 8GB DDR4 + Cooler + M.2 256GB;R$ 1.219,86
59;Kit Upgrade Processador AMD Ryzen 5 4600G 8MB 12 Threads, Placa Mãe A320m Prime Asus A320M-K/BR DDR4, Memória NEOLOGIC NL-8GB 8GB DDR4;R$ 1.602,06
60;Kit Powerpc Placa-Mãe H310 + Processador I5 8500 + Memória 16GB DDR4 + Cooler + M.2 256GB;R$ 1.310,52
61;Kit Upgrade Powerpc: Placa Mãe H110 + Processador I3 7100 + Memória 16GB DDR4 + Cooler;R$ 810,29
62;Kit Upgrade Placa Mãe H61+ Processador I3 2100 + Memoria 4 GB DDR3 + Cooler Rede 10 100;R$ 267,97
63;Kit Upgrade Placa Mãe H81 + Proc. I7 4770 + Mem. 8GB Ddr3 + Cooler + M.2 256GB;R$ 802,53
64;Kit Upgrade - Placa-Mãe H110 + Processador I7-6700 + Memória 16GB DDR4 + Cooler;R$ 1.261,44
65;Kit Placa Mãe H81 + Processador I5 4570s  + Memoria 8GB DDR3 + Cooler;R$ 471,32
66;Kit Pl Mãe H310 + Processador I7 8700 + Memoria 16GB DDR4 + Cooler;R$ 1.589,15
67;Kit Pl Mãe H61 + Processador I3 2100 + Memoria 8 Gb Ddr3 + Cooler;R$ 292,38
68;Kit Upgrade AMD, Ryzen 5 5600g, Placa Mae A320m, 16GB, DDR4 - Nli84581;R$ 1.975,80
69;Kit Placa Mãe H81 + Processador I5 4570  + Memoria 4 GB DDR3 + Cooler;R$ 447,16
70;Placa Mãe Gigabyte B550m Ds3h 1.1;R$ 899,00
71;Kit Upgrade, AMD Ryzen 5 4500, Placa Mãe A320m Prime Asus, Neologic - NLI84049;R$ 1.153,66
72;Kit Upgrade Powerpc Pl Mãe H81 + Proc I3 4130 + Memoria 8 GB DDR3 + Cooler + SSD 240;R$ 474,94
73;Kit Upgrade Powerpc: Placa Mãe H61 + Processador I5 2400;R$ 294,88
74;Kit Powerpc Placa-Mãe H81 + Processador I3 4130 + Memória 16 GB DDR3 + Cooler;R$ 419,63
75;Kit Placa Mãe H61 + Processador I3 3220 + Memória 8GB DDR3 + Cooler + SSD120;R$ 387,97
76;Kit Upgrade Neologic - Nli84717, AMD Ryzen 3 4100, Placa Mãe A320m, 8GB DDR4;R$ 1.294,60
77;Kit Upgrade com Placa Mãe H61 + Processador I5 3470s + Memoria 8 GB DDR3 + Cooler;R$ 392,26
78;Kit Pl Mãe H81 + Processador I3 4130 + Cooler;R$ 288,98
79;Kit Powerpc Placa-Mãe H61 + Processador I5 3470 + Memória 4GB DDR3 + Cooler + M.2 256GB;R$ 505,10
80;Kit Placa Mãe H81 + Processador I5 4570s;R$ 389,57
81;Kit Upgrade: Placa Mãe H81 + Processador I7 4770 + Memória 16GB DDR3 + Cooler + SSD 480GB;R$ 957,94
82;Kit Pl Mãe H81, Processador I3 4130,Memoria 8 GB DDR3,Cooler;R$ 354,31
83;Kit Upgrade Powerpc: Placa Mãe H81 + Processador I7 4770 + Cooler;R$ 598,13
84;Kit Upgrade, Placa Mãe H61 + Processador I5 3470s  + Memoria 4 Gb Ddr3 + Cooler;R$ 397,46
85;Kit Upgrade - Intel Core I5-11400F 11ª Geração + Memória 16GB DDR4;R$ 2.150,00
86;Kit Upgrade Placa Mãe H61 + Processador I3 3220 + Memoria 8 GB DDR3 + Cooler Rede 10 100;R$ 300,70
87;Kit Upgrade Powerpc: Placa Mãe H61 + Processador I3 3220 + Memória 16 GB DDR3 + Cooler;R$ 366,73
88;Kit Pl Mãe H61 + Processador I3 3220 + Mem 4 GB DDR3 + Cooler + SSD120;R$ 388,12
89;Kit Upgrade, Processador, AMD Ryzen 5 4500, Placa-Mãe A320m AM4, DDR4;R$ 1.216,80
